Unnamed: 1;QUADRO DE CONTROLE DE OBRA;Unnamed: 2;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 3;Unnamed: 7;Unnamed: 8;Unnamed: 9;
;;;;;;;;;;
;;;Complexo Alto Tietê - OAE Marginal - fase 02;;;Obra: ;P3931;;;
;;;SP-021 - Rodoanel Mário Covas - Leste;;;Estrada: ;;;;
;;;km 114+600 ao  km 117+000;;;km / estaca: ;;;;
FOL / CÓD.;N;REV.;;R0;R1;ASSUNTO;R2;R3;R4;
;;;;;;;;;;
AB-SPM00021D-114.117-825-C01/144;144;;;;;Armadura suplementar da viga pré-moldada de 24.70m (vão 178);;;;
AB-SPM00021D-114.117-825-C01/145;145;;;;;Cablagem viga pré-moldada de 35.20m  (vão 179);;;;
AB-SPM00021D-114.117-825-C01/146;146;;;;;Armadura suplementar da viga pré-moldada de 35.20m (vão 179);;;;
AB-SPM00021D-114.117-825-C01/147;147;;;;;Armadura das transversinas do vão 89;;;;
AB-SPM00021D-114.117-825-C01/148;148;;;;;Armadura das transversinas do vão 90;;;;
AB-SPM00021D-114.117-825-C01/149;149;;;;;Armadura das transversinas do vão 91;;;;
AB-SPM00021D-114.117-825-C01/150;150;;;;;Armadura das transversinas do vão 92;;;;
AB-SPM00021D-114.117-825-C01/151;151;;;;;Armadura das transversinas do vão 93;;;;
AB-SPM00021D-114.117-825-C01/152;152;;;;;Armadura das transversinas do vão 148;;;;
AB-SPM00021D-114.117-825-C01/153;153;;;;;Armadura das transversinas do vão 149;;;;
AB-SPM00021D-114.117-825-C01/154;154;;;;;Armadura das transversinas do vão 150;;;;
AB-SPM00021D-114.117-825-C01/155;155;;;;;Armadura das transversinas do vão 151;;;;
AB-SPM00021D-114.117-825-C01/156;156;;;;;Armadura das transversinas do vão 152;;;;
AB-SPM00021D-114.117-825-C01/157;157;;;;;Armadura das transversinas do vão 153;;;;
AB-SPM00021D-114.117-825-C01/158;158;;;;;Armadura das transversinas dos vãos 154 a 161;;;;
AB-SPM00021D-114.117-825-C01/159;159;;;;;Armadura das transversinas do vão 162;;;;
AB-SPM00021D-114.117-825-C01/160;160;;;;;Armadura das transversinas do vão 163;;;;
AB-SPM00021D-114.117-825-C01/161;161;;;;;Armadura das transversinas do vão 164;;;;
AB-SPM00021D-114.117-825-C01/162;162;3;;01/12/2025 00:00;23/12/2025 00:00;Armadura das estacas raiz dos apoios 53 a 70;23/01/2026 00:00;17/03/2026 00:00;;
AB-SPM00021D-114.117-825-C01/163;163;1;;23/09/2025 00:00;25/09/2025 00:00;Armadura das estacas raiz dos apoios 18 a 32;;;;
AB-SPM00021D-114.117-825-C01/164;164;0;;29/08/2025 00:00;;Armadura das estacas raiz dos apoios 33 a 45;;;;
AB-SPM00021D-114.117-825-C01/165;165;0;;08/08/2025 00:00;;Armadura das estacas raiz dos apoios 46 a 52;;;;
AB-SPM00021D-114.117-825-C01/166;166;1;;25/06/2025 00:00;30/07/2025 00:00;Armadura das estacas raiz dos apoios 1 a 10;;;;
AB-SPM00021D-114.117-825-C01/167;167;2;;09/07/2025 00:00;17/07/2025 00:00;Armadura das estacas raiz dos apoios 11 a 17;30/07/2025 00:00;;;
AB-SPM00021D-114.117-825-C01/168;168;2;;17/07/2025 00:00;21/07/2025 00:00;Armadura dos blocos e pilares dos apoios 1 a 15;25/07/2025 00:00;;;
AB-SPM00021D-114.117-825-C01/169;169;0;;01/08/2025 00:00;;Armadura dos blocos e pilares do apoio 16;;;;
AB-SPM00021D-114.117-825-C01/170;170;2;;07/08/2025 00:00;30/09/2025 00:00;Armadura do bloco e pilar do apoio 17;01/12/2025 00:00;;;
AB-SPM00021D-114.117-825-C01/171;171;1;;22/08/2025 00:00;14/10/2025 00:00;Armadura do bloco e pilar do apoio 18;;;;
AB-SPM00021D-114.117-825-C01/172;172;1;;22/08/2025 00:00;03/10/2025 00:00;Armadura do bloco e pilar do apoio 19;;;;
AB-SPM00021D-114.117-825-C01/173;173;1;;22/08/2025 00:00;03/10/2025 00:00;Armadura dos blocos e pilares dos apoios 20 a 30;;;;
AB-SPM00021D-114.117-825-C01/174;174;1;;22/08/2025 00:00;03/10/2025 00:00;Armadura dos blocos e pilares do apoio 31;;;;
AB-SPM00021D-114.117-825-C01/175;175;1;;22/08/2025 00:00;06/10/2025 00:00;Armadura dos blocos e pilares do apoio 32;;;;
AB-SPM00021D-114.117-825-C01/176;176;1;;22/08/2025 00:00;06/10/2025 00:00;Armadura dos blocos e pilares do apoio 33;;;;
AB-SPM00021D-114.117-825-C01/177;177;1;;22/08/2025 00:00;06/10/2025 00:00;Armadura dos blocos e pilares do apoio 34;;;;
AB-SPM00021D-114.117-825-C01/178;178;1;;22/08/2025 00:00;06/10/2025 00:00;Armadura dos blocos e pilares dos apoios 35 e 35A;;;;
AB-SPM00021D-114.117-825-C01/179;179;1;;22/08/2025 00:00;26/09/2025 00:00;Armadura dos blocos e pilares dos apoios 36 a 52;;;;
AB-SPM00021D-114.117-825-C01/180;180;1;;02/12/2025 00:00;30/01/2026 00:00;Armadura dos blocos e pilares dos apoios 53 a 67;;;;
AB-SPM00021D-114.117-825-C01/181;181;0;;10/03/2026 00:00;;Armadura dos blocos, pilares e travamentos dos apoios 74 a 82;;;;
AB-SPM00021D-114.117-825-C01/182;182;0;;10/06/2026 00:00;;Armadura dos blocos e pilares dos apoios 68 e 69;;;;
AB-SPM00021D-114.117-825-C01/183;183;;;;;Armadura dos blocos, pilares e travamento dos apoios 71 a 73;;;;
AB-SPM00021D-114.117-825-C01/184;184;;;;;Armadura dos blocos, pilares e travamento do apoio 70 - parte 1/3;;;;
AB-SPM00021D-114.117-825-C01/185;185;;;;;Armadura dos blocos, pilares e travamento do apoio 70 - parte 2/3;;;;
AB-SPM00021D-114.117-825-C01/186;186;;;;;Armadura dos blocos, pilares e travamento do apoio 70 - parte 3/3;;;;
AB-SPM00021D-114.117-825-C01/187;187;;;;;Armadura dos blocos, pilares e travamento dos apoios 83 a 89;;;;
AB-SPM00021D-114.117-825-C01/188;188;;;;;Armadura dos blocos, pilares e travamento dos apoios 90 a 93;;;;
AB-SPM00021D-114.117-825-C01/189;189;0;;27/02/2026 00:00;;Armadura dos blocos, pilares e travamento dos apoios 94 a 112;;;;
AB-SPM00021D-114.117-825-C01/190;190;0;;27/02/2026 00:00;;Armadura dos blocos, pilares e travamento dos apoios 113 a 130;;;;
