QUADRO DE CONTROLE DE OBRA;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
;;;Obra: ;Complexo Alto Tietê - OAE Marginal - fase 02;;;P3931;;
;;;Estrada: ;SP-021 - Rodoanel Mário Covas - Leste;;;;;
;;;km / estaca: ;km 114+600 ao  km 117+000;;;;;
N;FOL / CÓD.;REV.;ASSUNTO;;R0;R1;R2;R3;R4
;;;;;;;;;
169;AB-SPM00021D-114.117-825-C01-169;0;Armadura dos blocos e pilares do apoio 16;;2025-08-01 00:00:00;;;;
170;AB-SPM00021D-114.117-825-C01-170;2;Armadura do bloco e pilar do apoio 17;;2025-08-07 00:00:00;2025-09-30 00:00:00;2025-12-01 00:00:00;;
171;AB-SPM00021D-114.117-825-C01-171;1;Armadura do bloco e pilar do apoio 18;;2025-08-22 00:00:00;2025-10-14 00:00:00;;;
172;AB-SPM00021D-114.117-825-C01-172;1;Armadura do bloco e pilar do apoio 19;;2025-08-22 00:00:00;2025-10-03 00:00:00;;;
173;AB-SPM00021D-114.117-825-C01-173;1;Armadura dos blocos e pilares dos apoios 20 a 30;;2025-08-22 00:00:00;2025-10-03 00:00:00;;;
174;AB-SPM00021D-114.117-825-C01-174;1;Armadura dos blocos e pilares do apoio 31;;2025-08-22 00:00:00;2025-10-03 00:00:00;;;
175;AB-SPM00021D-114.117-825-C01-175;1;Armadura dos blocos e pilares do apoio 32;;2025-08-22 00:00:00;2025-10-06 00:00:00;;;
176;AB-SPM00021D-114.117-825-C01-176;1;Armadura dos blocos e pilares do apoio 33;;2025-08-22 00:00:00;2025-10-06 00:00:00;;;
177;AB-SPM00021D-114.117-825-C01-177;1;Armadura dos blocos e pilares do apoio 34;;2025-08-22 00:00:00;2025-10-06 00:00:00;;;
178;AB-SPM00021D-114.117-825-C01-178;1;Armadura dos blocos e pilares dos apoios 35 e 35A;;2025-08-22 00:00:00;2025-10-06 00:00:00;;;
179;AB-SPM00021D-114.117-825-C01-179;1;Armadura dos blocos e pilares dos apoios 36 a 52;;2025-08-22 00:00:00;2025-09-26 00:00:00;;;
180;AB-SPM00021D-114.117-825-C01-180;1;Armadura dos blocos e pilares dos apoios 53 a 67;;2025-12-02 00:00:00;2026-01-30 00:00:00;;;
181;AB-SPM00021D-114.117-825-C01-181;0;Armadura dos blocos, pilares e travamentos dos apoios 74 a 82;;2026-03-10 00:00:00;;;;
182;AB-SPM00021D-114.117-825-C01-182;0;Armadura dos blocos e pilares dos apoios 68 e 69;;2026-06-10 00:00:00;;;;
183;AB-SPM00021D-114.117-825-C01-183;;Armadura dos blocos, pilares e travamento dos apoios 71 a 73;;;;;;
184;AB-SPM00021D-114.117-825-C01-184;;Armadura dos blocos, pilares e travamento do apoio 70 - parte 1/3;;;;;;
185;AB-SPM00021D-114.117-825-C01-185;;Armadura dos blocos, pilares e travamento do apoio 70 - parte 2/3;;;;;;
186;AB-SPM00021D-114.117-825-C01-186;;Armadura dos blocos, pilares e travamento do apoio 70 - parte 3/3;;;;;;
187;AB-SPM00021D-114.117-825-C01-187;;Armadura dos blocos, pilares e travamento dos apoios 83 a 89;;;;;;
188;AB-SPM00021D-114.117-825-C01-188;;Armadura dos blocos, pilares e travamento dos apoios 90 a 93;;;;;;
